Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.021586418,0.0,0.00173296,0.0,
2,0.002083454,0.0,3.73435E-4,0.0,
3,0.002104951,0.0,4.03902E-4,0.0,
4,0.002254771,0.0,3.82062E-4,0.0,
5,0.029189048,2.757542,5.95384E-4,2.757542,
6,0.016802141,7.1967454,5.88777E-4,7.1967454,
7,0.022555407,2.7538614,5.07354E-4,2.7538614,
8,0.024835268,6.821754,5.02457E-4,6.821754,
9,0.013922517,10.56953,0.001932516,10.5695305,
10,0.014894104,10.704018,3.9522E-4,10.704017,
11,0.013357472,15.408608,4.01094E-4,15.408608,
12,0.020328606,14.750164,4.21328E-4,14.750164,
13,0.020352729,9.676743,3.88162E-4,9.676743,
14,0.04623093,18.934095,5.93364E-4,18.934095,
15,0.032411534,13.765182,5.28063E-4,13.765181,
16,0.020822084,22.685097,5.41355E-4,22.685097,
17,0.09702391,22.074942,4.4178E-4,22.074942,
18,0.03471748,17.310745,4.28277E-4,17.310743,
19,0.0523872,31.169998,4.66922E-4,30.935726,
20,0.03824795,25.954407,6.11721E-4,25.776882,
21,0.035356723,34.585,4.09003E-4,30.345577,
22,0.09814405,25.33147,5.21133E-4,25.33147,
23,0.039874308,38.755085,6.79451E-4,38.508118,
24,0.041384432,33.782272,5.93753E-4,33.782272,
25,0.025053373,37.65914,6.85981E-4,32.740578,
26,0.037858084,37.356247,7.79586E-4,37.17962,
27,0.032921433,46.893684,7.45821E-4,46.74378,
28,0.032324467,46.221546,5.71851E-4,46.221542,
29,1.5873119,47.018154,7.03812E-4,47.01815,
30,0.032955527,50.017418,7.54776E-4,40.44543,
31,0.051791277,50.06449,5.38953E-4,40.181812,
32,0.49412027,45.079845,7.60023E-4,34.69915,
33,0.043288294,53.62079,9.23373E-4,53.62079,
34,0.13418844,63.596172,8.40038E-4,63.279705,
35,0.10284372,58.198723,0.001031841,44.206005,
36,0.074754044,57.398273,6.98495E-4,52.2436,
37,0.05363883,66.7117,7.87928E-4,56.64663,
38,0.056561425,61.3847,0.001094487,61.384705,
39,0.04832019,65.923096,9.16611E-4,51.03256,
40,2.3478725,66.16437,0.001259214,66.16437,
41,0.045230567,64.727806,0.001313332,64.727806,
42,0.049491502,64.04885,9.8354E-4,55.561295,
43,0.09287675,68.8929,0.001134769,59.072926,
44,12.013084,74.203,0.001790293,74.203,
45,0.428433,63.310646,0.001139085,62.887344,
46,1.2988747,67.66462,0.001314314,67.66462,
47,0.17593236,77.212875,0.001252149,67.43977,
48,0.11134618,86.432655,0.001518284,72.39925,
49,0.15604849,70.79304,0.001952912,70.695274,
50,0.59419996,101.37062,0.001821898,101.37063,
51,0.06750768,89.54562,0.002132295,80.476524,
52,0.10045111,79.395805,0.001829542,59.480473,
53,2.2772064,84.0752,0.002366501,79.36392,
54,0.07252249,83.27156,0.002006422,83.27156,
55,0.51840955,93.10924,0.00163013,72.719246,
56,138.52109,93.21155,0.002805686,93.089165,
57,1.4479347,97.25111,0.003182372,91.86035,
58,0.20796086,96.45259,0.002459093,96.45258,
59,254.51755,91.76478,0.002470682,86.51493,
60,0.084413014,110.289665,0.003090382,105.41611,
61,0.8244942,120.19815,0.003263163,114.92499,
62,0.11684047,109.4975,0.002247306,76.19236,
63,0.060605846,108.6734,0.00268555,108.53461,
64,0.19988605,113.47916,0.003050477,113.47916,
65,0.10129738,112.58393,0.002783212,92.82652,
66,0.14483456,112.18391,0.003664587,112.154976,
67,53.90865,102.57208,0.003792665,102.043365,
68,677.35266,107.27758,0.004071823,106.077805,
69,618.2874,106.78581,0.003460421,106.78581,
70,1.4911333,120.448135,0.010295542,100.41733,
71,0.13128674,139.53636,0.004821565,119.54987,
72,128.17804,119.94054,0.005627304,119.90622,
73,0.09734096,128.69666,0.005699056,128.66742,
74,3.5923123,118.83122,0.006253638,108.29423,
75,73.021965,128.36147,0.006775827,123.92103,
76,0.14027995,152.02151,0.00695279,152.02151,
77,17.241957,127.298035,0.005155691,121.96945,
78,1.3878248,136.52643,0.005908309,136.33038,
79,67.21097,141.27402,0.006351668,141.27402,
80,0.12786454,145.13974,0.006506124,131.5269,
81,712.95447,150.90805,0.007387245,150.90804,
82,2.8140466,139.56747,0.006687951,139.56747,
