Query,Query Time [ms],Allocation Time [ms]
CD1,1549.0,0.0
CD2,1211.0,0.0
CD3,3973.0,0.0
CD4,2063.0,0.0
CD5,1931.0,0.0
CD6,4228.0,0.0
CD7,4938.0,0.0
LS1,914.0,0.0
LS2,1471.0,0.0
LS3,42588.0,0.0
LS4,1707.0,0.0
LS5,13051.0,0.0
LS6,692011.0,0.0
LS7,10889.0,0.0
LD1,2675.0,0.0
LD2,1152.0,0.0
LD3,4246.0,0.0
LD4,2536.0,0.0
LD5,1360.0,0.0
LD6,2017.0,0.0
LD7,2922.0,0.0
LD8,2718.0,0.0
LD9,1256.0,0.0
LD10,1763.0,0.0
LD11,5094.0,0.0
