Query,Query Time [ms],Allocation Time [ms]
CD1,918,65
CD2,128,3
CD3,2243,3
CD4,154,3
CD5,408,2
CD6,1117,4
CD7,734,4
LS1,105,4
LS2,120,7
LS3,24726,59
LS4,247,4
LS5,10089,13
LS6,343037,7
LS7,8818,8
LD1,349,3
LD2,162,1
LD3,416,1
LD4,1171,1
LD5,195,1
LD6,477,1
LD7,1495,3
LD8,361,2
LD9,153,2
LD10,193,2
LD11,1432,2
