Query,Query Time [ms],Allocation Time [ms]
CD1,952,0
CD2,160,0
CD3,2527,0
CD4,199,0
CD5,480,0
CD6,806,0
CD7,419,0
LS1,113,0
LS2,133,0
LS3,8079,0
LS4,256,0
LS5,3281,0
LS6,122123,0
LS7,5697,0
LD1,231,0
LD2,129,0
LD3,260,0
LD4,598,0
LD5,162,0
LD6,335,0
LD7,497,0
LD8,251,0
LD9,176,0
LD10,173,0
LD11,523,0
