Query,Query Time [ms],Allocation Time [ms]
CD1,1443,158
CD2,264,9
CD3,6776,6
CD4,377,4
CD5,1180,4
CD6,3183,13
CD7,1503,7
LS1,197,5
LS2,228,12
LS3,48665,232
LS4,472,12
LS5,19517,882
LS6,693470,8
LS7,14191,9
LD1,896,1
LD2,349,1
LD3,1000,3
LD4,2965,1
LD5,377,2
LD6,971,1
LD7,2459,2
LD8,738,2
LD9,338,2
LD10,351,2
LD11,2361,2
