Query,Query Time [ms],Allocation Time [ms]
CD1,664.0,94.0
CD2,277.0,5.0
CD3,429.0,3.0
CD4,468.0,3.0
CD5,364.0,3.0
CD6,1426.0,4.0
CD7,1559.0,4.0
LS1,254.0,4.0
LS2,354.0,7.0
LS3,13577.0,44.0
LS4,343.0,4.0
LS5,3676.0,8.0
LS6,330415.0,5.0
LS7,5888.0,9.0
LD1,1213.0,5.0
LD2,326.0,3.0
LD3,1982.0,4.0
LD4,326.0,4.0
LD5,391.0,3.0
LD6,481.0,9.0
LD7,1962.0,9.0
LD8,1031.0,8.0
LD9,301.0,5.0
LD10,536.0,8.0
LD11,3525.0,7.0
