Query,Query Time [ms],Allocation Time [ms]
CD1,588,0
CD2,183,0
CD3,2354,0
CD4,307,0
CD5,676,0
CD6,1230,0
CD7,849,0
LS1,157,0
LS2,212,0
LS3,17844,0
LS4,451,0
LS5,7836,0
LS6,305371,0
LS7,9345,0
LD1,556,0
LD2,300,0
LD3,631,0
LD4,1547,0
LD5,354,0
LD6,676,0
LD7,1145,0
LD8,556,0
LD9,366,0
LD10,296,0
LD11,1274,0
