Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.024397332,0.0,0.001645454,0.0,
2,0.001517957,0.0,3.71733E-4,0.0,
3,0.002661211,0.0,3.65712E-4,0.0,
4,0.039776836,3.6024427,4.81007E-4,3.6024427,
5,0.002401628,0.0,4.80145E-4,0.0,
6,0.01454895,2.6106062,5.2235E-4,2.6106062,
7,0.026478168,6.521702,6.08631E-4,6.521702,
8,0.012308304,7.3054953,5.90221E-4,6.952889,
9,0.011358413,10.819786,0.001772596,6.646609,
10,0.012493518,6.783326,3.90244E-4,6.783326,
11,0.01321807,10.350213,5.11096E-4,10.350213,
12,0.032308362,19.32087,8.34026E-4,19.32087,
13,0.020475307,18.707361,0.001878978,18.70736,
14,0.10133174,28.080782,6.97052E-4,28.080782,
15,0.06633785,13.733838,6.35821E-4,13.733838,
16,0.05533608,13.521685,4.1391E-4,13.521685,
17,0.047865983,21.787151,5.07815E-4,17.50798,
18,0.03243802,21.864895,4.15988E-4,21.864895,
19,0.032477215,31.497852,4.71524E-4,31.426035,
20,0.050843734,31.057941,6.33724E-4,30.241997,
21,0.038427316,20.554974,4.91541E-4,20.554974,
22,0.024206731,34.11457,6.49676E-4,25.475727,
23,0.03711418,33.554184,7.51886E-4,24.521824,
24,0.041422527,33.268745,5.32513E-4,29.486233,
25,0.026948353,37.82139,5.53918E-4,33.18628,
26,0.57450366,33.423126,7.66432E-4,32.59681,
27,0.09033197,42.141747,9.12255E-4,33.323742,
28,0.22681554,42.149773,0.001038773,41.449783,
29,0.083118685,50.953747,0.001259801,41.989647,
30,0.050392695,50.264317,0.00108639,36.15121,
31,0.2358088,40.467102,0.001074293,40.353397,
32,0.20887655,55.04435,0.001295383,49.526287,
33,0.056303438,58.548805,9.70205E-4,48.516136,
34,0.08778519,58.468273,0.001021204,53.93029,
35,5.51684,48.568474,0.001537609,48.568474,
36,0.073826894,62.11992,0.001645969,62.11992,
37,0.33154926,62.269962,0.002046083,61.59356,
38,0.08254032,56.19505,0.002169444,56.19505,
39,0.28109264,66.30713,0.002140113,56.321167,
40,0.08500399,70.13246,0.001541734,55.635094,
41,0.19814195,75.0643,0.001811339,64.8513,
42,9.819265,70.36159,0.002047779,65.51015,
43,2.1944818,69.19543,0.003491461,68.89705,
44,1.2391014,74.01642,0.002406485,53.14895,
45,0.14244387,72.82158,0.002483809,52.997746,
46,0.10978911,97.061165,0.002821892,97.061165,
47,0.13375041,77.14844,0.002573511,77.14844,
48,165.24617,67.439865,0.001991029,61.20682,
49,0.092704825,100.73984,0.003566599,91.1058,
50,0.08442828,85.052895,0.002412602,52.16017,
51,0.3992827,79.919525,0.003538396,75.07631,
52,1.2573208,94.70851,0.003275448,84.116776,
53,0.9753952,78.84867,0.002574799,69.6257,
54,0.08624319,103.07923,0.003973498,103.07923,
55,0.2901638,97.928894,0.004417941,88.23294,
56,0.3879548,87.07321,0.003852347,78.12908,
57,0.13695323,96.538376,0.004126508,77.07524,
58,2.371046,101.85613,0.004425291,91.199524,
59,0.32981405,95.9283,0.004381722,91.29866,
60,0.32990986,90.437546,0.003951592,85.708435,
61,306.72632,100.76125,0.004723311,100.54498,
62,0.10726668,114.17427,0.004750086,104.29229,
63,111.47692,104.58415,0.005274273,99.780365,
64,0.21350546,113.031494,0.005217793,113.031494,
65,1.5238132,118.169395,0.005000814,102.703835,
66,47.884174,97.973434,0.004975999,97.48035,
67,1.263357,111.982635,0.005715288,102.1823,
68,12.169688,126.80623,0.006845364,126.80623,
69,9.378011,111.29019,0.005307437,106.762596,
70,42.29326,131.09071,0.006661094,120.46922,
71,0.23599197,134.50537,0.007219424,134.50537,
72,0.16770877,134.12099,0.005961801,99.22331,
73,0.35203597,123.71776,0.006322321,110.07062,
74,0.519535,153.42065,0.008980614,153.42065,
75,4.7426877,133.31259,0.008073028,133.22293,
76,46.147884,138.12534,0.008133943,137.92502,
77,424.4385,137.6671,0.008707467,137.19347,
78,1066.7915,137.29352,0.008510461,126.03999,
79,84.69091,141.44696,0.00908093,141.11526,
80,33.725044,145.7178,0.009763275,135.0149,
81,0.1592305,144.65201,0.010288153,140.17299,
82,1516.0973,130.10083,0.00854695,130.10083,
83,32.773026,149.21567,0.009560419,139.45775,
84,1.2493776,153.50058,0.009619437,134.135,
85,0.27541426,152.7677,0.010583975,152.54811,
86,3.066146,157.49147,0.009892222,142.37732,
87,915.31714,142.36067,0.008300236,126.95712,
88,1798.04,152.25769,0.008372446,152.2577,
