Query,Query Time [ms],Allocation Time [ms]
CD1,2076.0,104.0
CD2,1199.0,2.0
CD3,6948.0,7.0
CD4,2132.0,4.0
CD5,2243.0,4.0
CD6,7525.0,6.0
CD7,8648.0,3.0
LS1,896.0,7.0
LS2,1436.0,14.0
LS3,108846.0,272.0
LS4,1563.0,3.0
LS5,32311.0,25.0
LS6,1510977.0,5.0
LS7,18530.0,7.0
LD1,4543.0,5.0
LD2,1183.0,3.0
LD3,6479.0,4.0
LD4,3835.0,5.0
LD5,1370.0,3.0
LD6,2197.0,4.0
LD7,4898.0,4.0
LD8,3024.0,4.0
LD9,1086.0,3.0
LD10,1778.0,6.0
LD11,9089.0,10.0
