Query,Query Time [ms],Allocation Time [ms]
CD1,1894,128
CD2,181,22
CD3,6796,6
CD4,291,6
CD5,1281,7
CD6,2318,8
CD7,1306,5
LS1,162,3
LS2,207,16
LS3,44574,150
LS4,400,13
LS5,19145,414
LS6,681641,5
LS7,14012,8
LD1,574,2
LD2,250,2
LD3,740,2
LD4,2424,2
LD5,335,2
LD6,1054,2
LD7,2932,2
LD8,611,2
LD9,272,2
LD10,250,1
LD11,2247,2
