Query,Query Time [ms],Allocation Time [ms]
CD1,1692,79
CD2,187,6
CD3,5401,10
CD4,401,8
CD5,1044,4
CD6,1828,5
CD7,1088,5
LS1,127,3
LS2,161,8
LS3,34800,105
LS4,291,5
LS5,13589,31
LS6,504246,6
LS7,10798,8
LD1,466,3
LD2,214,2
LD3,573,2
LD4,1661,2
LD5,245,1
LD6,756,1
LD7,2158,3
LD8,522,1
LD9,189,2
LD10,229,2
LD11,2222,2
