Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.025299817,0.0,0.001830709,0.0,
2,0.00126356,0.0,2.64605E-4,0.0,
3,0.011568821,3.8109314,4.58615E-4,3.8109314,
4,0.002506817,0.0,4.10073E-4,0.0,
5,0.010823514,7.6564474,7.57927E-4,7.6564474,
6,0.012631601,3.1321137,3.77841E-4,3.1321137,
7,0.01003481,6.538491,3.81235E-4,6.5384903,
8,0.019059952,7.2731485,3.80781E-4,7.2731485,
9,0.013313759,11.794464,4.81677E-4,11.794464,
10,0.014383688,15.6715355,0.001587773,15.6715355,
11,0.019592304,9.938494,6.38278E-4,9.685596,
12,0.029875137,14.783245,6.11208E-4,14.783245,
13,0.031620413,14.59079,5.80272E-4,13.984386,
14,0.024305629,23.229658,5.82258E-4,23.229656,
15,0.057395305,18.247948,6.38096E-4,18.080639,
16,0.08327682,23.324224,4.65611E-4,23.324224,
17,0.024980923,22.775429,5.96812E-4,22.775427,
18,0.03481001,21.743149,5.05315E-4,21.163052,
19,0.033894572,31.074432,6.08897E-4,26.821005,
20,0.030569494,30.055916,5.67885E-4,21.841402,
21,0.05891681,25.94869,3.89884E-4,25.948689,
22,0.03417475,29.851425,4.79796E-4,29.691442,
23,0.028614344,34.383682,5.28124E-4,34.383682,
24,0.019142153,33.068115,8.84346E-4,29.075027,
25,0.06152057,38.405342,6.84611E-4,28.681019,
26,0.07790181,43.095207,8.29751E-4,42.530586,
27,0.11793503,42.7101,6.3077E-4,42.579666,
28,0.13234636,37.469574,5.51984E-4,32.500557,
29,0.054210816,51.329163,7.32436E-4,50.992218,
30,0.043372225,50.631027,6.49402E-4,40.001614,
31,0.036535233,59.741867,6.54176E-4,59.741867,
32,0.036162417,54.299797,7.71201E-4,40.104256,
33,0.092129745,49.334503,7.83652E-4,49.2282,
34,0.026672548,58.287033,0.001009446,58.10312,
35,0.033759445,57.685333,0.001228309,48.891,
36,0.058463305,57.603363,8.88255E-4,53.244453,
37,0.04263415,56.6781,9.53713E-4,46.90168,
38,0.20418654,62.13423,8.63875E-4,62.13423,
39,0.3253442,56.210377,8.15403E-4,51.69921,
40,0.04616451,50.29592,7.63625E-4,45.14823,
41,0.08912759,75.28702,0.001388662,75.16141,
42,24.091946,65.301476,0.001304482,59.291935,
43,0.12206104,68.98719,9.40408E-4,45.221573,
44,0.11955939,68.63641,0.001499058,68.18637,
45,0.19871786,73.19799,0.001639759,68.30305,
46,35.857475,78.43969,0.00150608,78.43969,
47,115.230415,72.72248,0.001481661,62.306396,
48,0.12889563,86.493866,0.001876509,86.14456,
49,0.08385687,85.97411,0.001952459,81.357475,
50,12.438012,91.10509,0.002174032,80.84773,
51,2.1381314,80.50022,0.002785846,79.5555,
52,0.22654754,75.31789,0.001873093,74.816284,
53,0.07414012,98.87618,0.002421227,89.118095,
54,0.25678018,93.97748,0.001855523,73.44966,
55,0.13029094,93.06967,0.002282692,77.85626,
56,41.577263,93.299644,0.002983432,93.15761,
57,8.355168,97.34686,0.002895411,87.58554,
58,8.801546,86.830345,0.002785164,86.830345,
59,108.16297,96.74463,0.002269148,70.5489,
60,25.88502,91.07291,0.002576363,75.35601,
61,44.36886,100.86715,0.003400159,100.70543,
62,10.876598,104.81801,0.002849771,90.37308,
63,70.97172,104.80741,0.003295185,94.67595,
64,140.83965,104.3702,0.003748055,104.37019,
65,16.412502,113.67554,0.003940703,113.67554,
66,1.2604793,107.56474,0.003363208,97.26536,
67,1.7398746,117.20589,0.004276163,117.20589,
68,25.675629,126.94862,0.005057469,111.49379,
69,4.329023,121.0324,0.003782005,105.84671,
70,555.69476,121.24123,0.004817642,115.80261,
71,0.10793265,124.72958,0.005086566,124.72958,
72,21704.607,120.191956,0.006395324,114.190414,
73,0.12826054,118.608925,0.005404112,109.54172,
74,0.96903414,123.504265,0.005546716,119.04822,
75,64.20823,143.75143,0.007546183,143.65897,
76,8.806904,132.65134,0.005573357,112.932724,
77,5060.3906,122.40187,0.004105152,86.81177,
