Query,Query Time [ms],Allocation Time [ms]
CD1,1280.0,65.0
CD2,512.0,5.0
CD3,1775.0,8.0
CD4,940.0,7.0
CD5,844.0,9.0
CD6,2014.0,5.0
CD7,2357.0,4.0
LS1,410.0,3.0
LS2,615.0,7.0
LS3,21862.0,45.0
LS4,956.0,4.0
LS5,6956.0,16.0
LS6,272962.0,5.0
LS7,7395.0,6.0
LD1,1185.0,3.0
LD2,578.0,3.0
LD3,1799.0,2.0
LD4,1194.0,3.0
LD5,635.0,2.0
LD6,972.0,6.0
LD7,1438.0,4.0
LD8,1207.0,6.0
LD9,810.0,2.0
LD10,803.0,4.0
LD11,2339.0,5.0
