Query,Query Time [ms],Allocation Time [ms]
CD1,812.0,102.0
CD2,285.0,5.0
CD3,965.0,4.0
CD4,468.0,2.0
CD5,379.0,3.0
CD6,2572.0,5.0
CD7,2520.0,6.0
LS1,317.0,6.0
LS2,390.0,15.0
LS3,20915.0,115.0
LS4,371.0,4.0
LS5,6173.0,9.0
LS6,309933.0,7.0
LS7,5527.0,5.0
LD1,815.0,3.0
LD2,246.0,3.0
LD3,1445.0,3.0
LD4,270.0,2.0
LD5,346.0,2.0
LD6,412.0,4.0
LD7,2001.0,5.0
LD8,720.0,4.0
LD9,228.0,3.0
LD10,436.0,4.0
LD11,2814.0,4.0
