Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.03436112,0,0.001632019,0
2,0.002061553,0,3.65E-04,0
3,0.009926807,3.5380232,5.27E-04,3.5380232
4,0.002887079,0,4.78E-04,0
5,0.004875917,2.9633095,5.48E-04,2.9633095
6,0.01597022,2.9234657,4.83E-04,2.9234655
7,0.017773552,7.1462755,7.89E-04,7.1462755
8,0.024688203,6.5925217,3.29E-04,6.5925217
9,0.011568882,11.241657,0.002185773,11.241657
10,0.01558652,11.003368,6.22E-04,11.003368
11,0.015587364,10.679062,6.05E-04,10.679062
12,0.013740837,14.474083,8.69E-04,14.474083
13,0.08508092,13.599176,5.70E-04,13.599176
14,0.09769467,14.510536,4.96E-04,13.703884
15,0.083813205,23.242252,6.21E-04,23.242252
16,0.04746994,17.872906,5.50E-04,17.872906
17,0.05375288,22.583878,8.07E-04,22.12952
18,0.032288846,21.804272,4.57E-04,21.804272
19,0.039579052,26.696377,5.21E-04,25.851673
20,0.02738687,35.1386,6.47E-04,26.092747
21,0.029166216,30.032757,4.52E-04,30.032757
22,0.04314803,34.62256,4.81E-04,30.424622
23,0.121916294,30.026543,7.04E-04,29.895212
24,0.07837358,43.54806,9.36E-04,43.10213
25,0.042350303,37.639694,0.001088887,33.64621
26,0.07966674,37.150066,9.32E-04,33.444565
27,0.5542376,32.869312,6.00E-04,27.978216
28,0.044855572,46.402527,6.37E-04,37.333878
29,0.7287637,41.88885,7.56E-04,41.88885
30,0.04548841,50.151,0.001678568,46.30139
31,0.15403965,40.25631,6.93E-04,34.93733
32,0.046386056,44.20877,7.70E-04,34.3721
33,0.055459693,58.81904,8.70E-04,58.632248
34,0.051746167,58.356934,9.08E-04,53.953407
35,1.4355124,53.414864,9.69E-04,53.346558
36,6.983155,68.110245,0.001338902,62.781044
37,0.06607591,51.535557,0.001188367,37.255486
38,0.114687584,61.76575,0.001536889,61.025642
39,0.06979754,71.1206,0.001386257,56.8572
40,0.12064571,55.50966,0.001313464,55.03824
41,0.057368983,64.79145,0.001158187,60.681957
42,6.546854,65.05631,0.001362707,59.611565
43,1.9491044,59.581802,0.001570946,54.314495
44,0.049466405,78.125015,0.001782515,78.125015
45,0.051918603,87.8015,0.001978343,87.8015
46,0.0639398,77.26854,0.002090678,77.09402
47,0.28145537,71.94985,0.001547716,53.2482
48,0.086511746,76.07107,0.001893486,76.07107
49,0.1567047,75.862686,0.001872092,71.41447
50,13.262009,81.14983,0.00174729,81.14983
51,0.077582374,84.77284,0.00223659,59.83042
52,0.09290725,89.44521,0.001968423,84.37019
53,0.10478489,88.707985,0.002502052,85.028145
54,10.358693,83.8634,0.001875491,59.123035
55,85.76348,93.78754,0.002757181,93.05047
56,0.5553444,92.52481,0.002827446,87.77339
57,0.20214336,86.54008,0.002620318,72.30333
58,50.352215,102.105385,0.00301446,86.07823
59,0.98884153,95.972176,0.002560049,71.00989
60,19.65589,105.97261,0.003652347,100.18804
61,0.40087247,100.120316,0.003486439,85.91148
62,33.75343,100.12105,0.002617704,70.72373
63,53.51936,109.39062,0.003691354,108.74606
64,0.10915484,98.1192,0.003413919,89.3044
65,385.77048,103.88559,0.003745859,103.88559
66,301.222,113.114426,0.003551414,102.40677
67,0.095712066,121.526955,0.00411543,121.52696
68,0.07401443,121.169075,0.004506926,111.41304
69,2969.2651,121.79991,0.004481705,121.78699
70,3.301102,115.81818,0.003945724,110.73482
71,0.40109527,109.9292,0.004022153,101.09105
72,0.24918479,124.465775,0.005137769,119.977554
73,0.32735902,123.889114,0.004825554,119.80319
74,0.1927582,138.09518,0.005556011,128.45
75,0.26354384,152.95386,0.005594664,152.95386
76,1147.9131,123.18355,0.024073817,112.82269
77,0.26669383,136.75394,0.013918463,122.06792
78,1.4033195,151.39072,0.010656012,146.9229
79,100.971275,141.34036,0.009652567,141.34036
80,0.14131707,130.23036,0.007777629,115.1801
81,7217.272,140.93726,0.007098962,135.32039
82,0.15198877,149.32877,0.007647538,149.32877
83,1751.1436,134.87941,0.008206042,134.84486
84,1277.4442,149.06549,0.008718166,149.06549
