Query,Query Time [ms],Allocation Time [ms]
CD1,957,0
CD2,135,0
CD3,4563,0
CD4,236,0
CD5,521,0
CD6,1239,0
CD7,684,0
LS1,128,0
LS2,157,0
LS3,15508,0
LS4,346,0
LS5,6405,0
LS6,253790,0
LS7,7637,0
LD1,373,0
LD2,191,0
LD3,494,0
LD4,1315,0
LD5,260,0
LD6,517,0
LD7,838,0
LD8,414,0
LD9,182,0
LD10,223,0
LD11,958,0
