Query,Query Time [ms],Allocation Time [ms]
CD1,394,0
CD2,67,0
CD3,115,0
CD4,48,0
CD5,49,0
CD6,81,0
CD7,53,0
LS1,92,0
LS2,51,0
LS3,434,0
LS4,46,0
LS5,91,0
LS6,46,0
LS7,80,0
LD1,57,0
LD2,50,0
LD3,51,0
LD4,47,0
LD5,54,0
LD6,56,0
LD7,67,0
LD8,46,0
LD9,52,0
LD10,52,0
LD11,62,0
