Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.029668901,0.0,0.001346602,0.0,
2,0.002584828,0.0,4.16212E-4,0.0,
3,0.002399699,0.0,3.7174E-4,0.0,
4,0.005057095,3.4103312,4.80445E-4,3.4103312,
5,0.014448321,8.102871,4.1617E-4,8.102871,
6,0.013661036,2.7567873,3.56357E-4,2.7567873,
7,0.019514944,7.456153,3.44614E-4,7.456153,
8,0.020336041,6.778448,3.68467E-4,6.778448,
9,0.022028817,10.608721,6.58753E-4,10.608721,
10,0.022219231,10.864136,0.001651537,10.864137,
11,0.04230743,10.768026,4.5492E-4,10.768027,
12,0.016952405,15.136236,4.97167E-4,15.136236,
13,0.04196472,14.141314,4.81405E-4,14.141313,
14,0.031054424,23.623322,0.00220821,23.623322,
15,0.02497986,23.078447,6.51116E-4,23.078447,
16,0.043675505,22.806694,4.24253E-4,18.053295,
17,0.02749948,21.873585,4.35053E-4,21.703098,
18,0.049579967,17.49579,4.22813E-4,17.047453,
19,0.028044924,25.802681,4.31389E-4,21.514498,
20,0.025137719,30.306519,5.14325E-4,25.086906,
21,0.04910845,40.60385,4.95378E-4,40.60385,
22,0.024997655,34.46496,4.87423E-4,29.673136,
23,0.09047127,29.805222,5.38246E-4,29.609005,
24,0.026823357,33.34684,7.31802E-4,33.21599,
25,0.036613256,33.57495,8.08347E-4,27.642185,
26,0.04987108,32.948997,6.63538E-4,27.25131,
27,0.5579584,33.08033,5.31143E-4,33.080334,
28,0.07823969,36.347633,5.44117E-4,36.347633,
29,0.0694228,46.173695,7.91411E-4,46.173695,
30,0.0631733,50.33532,0.001131856,45.68564,
31,1.5321144,45.76953,0.001117131,45.114494,
32,0.5450741,50.038456,9.08794E-4,40.357933,
33,0.04244864,48.56231,8.37609E-4,33.853844,
34,2.8958673,49.32952,7.62127E-4,48.787865,
35,0.10829964,48.41751,8.90812E-4,48.417515,
36,0.7622995,72.85219,0.001131896,67.9028,
37,0.2427127,67.69057,0.001336287,62.38923,
38,0.054774567,56.186623,0.00140856,51.41888,
39,0.08683179,66.03349,9.33841E-4,50.540386,
40,0.067206606,65.34213,0.001346348,65.23843,
41,0.043607727,69.64146,0.001406021,60.031754,
42,0.41833624,69.88413,0.00150028,69.884125,
43,0.14090791,59.414528,0.001381292,59.414528,
44,0.06617678,78.31018,0.001259708,68.54945,
45,2.7350128,58.215843,0.001134321,53.70581,
46,0.11129471,82.14081,0.001394978,67.243774,
47,0.51775736,72.105,0.001561166,66.688736,
48,1.4148736,82.13873,0.001999223,82.13873,
49,13.369276,86.59541,0.001938712,86.59541,
50,2.8985865,75.64192,0.002084939,75.29201,
51,0.07788694,89.712135,0.002716378,75.6371,
52,31.95252,80.257065,0.002507739,69.86555,
53,0.12338402,93.51685,0.002202664,84.76378,
54,16.40684,99.27087,0.002494502,99.133545,
55,7.201458,93.707085,0.002601868,82.54189,
56,0.22302696,102.31542,0.00223423,68.86014,
57,5.379253,82.16789,0.001782537,62.154915,
58,0.072831966,106.31031,0.003157806,102.0108,
59,29.683472,86.334816,0.001791798,62.41413,
60,1.4500084,100.82488,0.002462816,80.86063,
61,0.102869324,104.51294,0.002404981,80.14307,
62,26.049334,115.13037,0.003688408,109.071785,
63,1.0286665,104.2379,0.003461754,103.535385,
64,110.81575,104.01854,0.003537835,103.786224,
65,323.03204,108.72873,0.003766406,103.31069,
66,132.1472,112.8405,0.003716933,102.258316,
67,233.84203,122.53998,0.004702957,122.53998,
68,0.29737177,116.36748,0.005359995,106.45425,
69,116.392624,101.60121,0.003960162,100.8405,
70,421.16885,106.08978,0.003988749,106.08978,
71,1.5138997,109.92145,0.004197714,104.810104,
72,12.381224,109.87903,0.004873748,109.56151,
73,0.091748275,128.7074,0.005242462,119.02232,
74,47.787155,139.30447,0.005567816,124.41586,
75,250.49374,128.46199,0.004973436,114.04418,
