Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.02245582,0.0,9.25829E-4,0.0,
2,0.00129487,0.0,8.72356E-4,0.0,
3,0.002651137,0.0,1.96276E-4,0.0,
4,0.00450579,3.5033722,3.58189E-4,3.5033722,
5,0.001498314,0.0,3.34057E-4,0.0,
6,0.011609862,3.1607776,4.64062E-4,3.1607776,
7,0.009996213,2.3468046,6.64457E-4,2.3468046,
8,0.014369056,6.67846,7.3345E-4,6.367464,
9,0.017364817,6.837242,0.001883795,6.837242,
10,0.015430831,11.003367,4.35606E-4,11.003367,
11,0.012881719,15.085019,4.54759E-4,14.738665,
12,0.01878115,10.58779,3.77955E-4,10.204429,
13,0.014866987,19.094635,4.29086E-4,19.094637,
14,0.04926955,14.078909,4.71176E-4,13.868209,
15,0.039934665,18.599634,5.21722E-4,18.404453,
16,0.02297235,22.081114,6.60511E-4,17.36658,
17,0.04165976,17.710781,5.90691E-4,17.580612,
18,0.014800565,26.03965,4.35164E-4,26.039654,
19,0.05958251,21.553373,4.16067E-4,21.1837,
20,0.033820458,36.184822,6.39937E-4,36.184822,
21,0.053734746,25.455223,4.11567E-4,25.368876,
22,0.02811858,29.542437,4.39711E-4,25.102951,
23,0.022680864,43.656757,5.63019E-4,43.555653,
24,0.075335145,29.453934,4.74402E-4,29.453936,
25,0.061657097,43.45981,9.01256E-4,37.724716,
26,0.024193292,42.166,7.29869E-4,37.884117,
27,0.035659857,37.090935,7.07185E-4,33.260998,
28,0.029898133,41.086792,7.56417E-4,36.781693,
29,0.115438215,36.723988,5.65441E-4,31.931755,
30,0.03605404,50.14503,7.19073E-4,40.603733,
31,0.10558457,50.4327,6.9533E-4,46.059944,
32,0.7398594,50.112152,8.42258E-4,45.077335,
33,0.60569096,59.614292,6.42153E-4,49.24733,
34,0.09572987,64.094536,8.23759E-4,64.094536,
35,0.044506088,63.29329,0.001022684,53.38398,
36,0.03968124,57.092216,9.43432E-4,52.8124,
37,0.072926246,56.707836,0.001404538,38.20409,
38,0.20434876,56.947823,9.93793E-4,42.238686,
39,0.1597805,71.50757,0.001299403,71.50757,
40,0.05110921,60.256897,0.001473641,56.30261,
41,0.21862589,75.29449,0.001081879,75.29448,
42,0.43381107,69.902435,9.04212E-4,50.72988,
43,2.2352514,74.73872,0.001978468,73.97928,
44,0.24712355,78.741104,0.001940307,78.08346,
45,0.872674,83.11367,0.001928414,77.58978,
46,39.915764,58.480206,0.001639151,58.480206,
47,0.16024007,72.13292,0.001818811,67.84985,
48,0.26911414,66.925644,0.001725369,51.18808,
49,397.42584,71.869514,0.001682768,66.32683,
50,162.32082,96.29602,0.002022595,96.09219,
51,0.21627614,85.898056,0.003212466,85.575676,
52,10.359738,74.67885,0.002051803,74.124535,
53,10.61167,89.69746,0.002488575,79.275894,
54,0.086255506,93.28205,0.001986212,83.622925,
55,0.07220032,102.83815,0.002351944,93.17708,
56,0.09760748,102.01784,0.002434855,102.01784,
57,0.97317904,92.10481,0.001942594,82.7672,
58,7.99118,87.03698,0.002280064,67.64144,
59,14.127802,86.61717,0.002495083,86.43809,
60,11.817979,101.15312,0.003133112,95.16585,
61,0.93346053,105.04454,0.002720055,100.304245,
62,33.474545,99.77458,0.002849041,94.57617,
63,0.09449667,113.795654,0.003215629,94.750885,
64,0.2555029,98.448425,0.002980848,84.6728,
65,55.942986,103.737366,0.00335432,103.737366,
66,0.1663378,117.07295,0.004011467,107.877686,
67,0.26104704,121.57399,0.004292186,116.85699,
68,8.316497,106.72429,0.003287479,96.55185,
69,1.2482418,121.03723,0.003793426,100.56527,
70,114.73056,105.781265,0.003225167,76.021835,
71,179.75537,110.683334,0.004048284,90.21575,
72,2506.0571,120.2953,0.004923128,114.82913,
73,0.3842851,123.87219,0.004416154,98.70059,
74,1.4737886,133.53574,0.005216382,123.16329,
75,0.40355307,132.55109,0.005032948,132.55109,
