Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.026864968,0.0,0.001470378,0.0,
2,0.002770953,0.0,4.12623E-4,0.0,
3,0.00246228,0.0,4.40772E-4,0.0,
4,0.00260518,0.0,4.51496E-4,0.0,
5,0.011952477,2.7904272,6.00554E-4,2.7904272,
6,0.029798226,7.5499105,6.38903E-4,7.5499105,
7,0.030727033,6.7797165,4.22155E-4,6.779716,
8,0.02802027,6.8375354,6.33272E-4,6.8375354,
9,0.063170925,15.6352215,7.61399E-4,15.6352215,
10,0.01797075,10.477695,5.64336E-4,10.477695,
11,0.017582145,10.5987015,3.85913E-4,10.5987015,
12,0.065560944,10.518555,4.6046E-4,10.518554,
13,0.06907116,14.612461,4.21173E-4,14.612461,
14,0.023046028,18.775988,6.65479E-4,18.775988,
15,0.029827785,18.705418,5.73881E-4,18.705418,
16,0.034117498,22.257084,4.21542E-4,18.223028,
17,0.03018824,17.111593,4.53177E-4,17.111595,
18,0.05311353,22.212902,4.77814E-4,22.212902,
19,0.034423653,21.196884,4.43021E-4,17.05951,
20,0.029124388,25.028944,6.01551E-4,25.028944,
21,0.033863675,25.062088,3.99646E-4,21.112143,
22,0.067709446,29.690777,4.78724E-4,25.521961,
23,0.028397648,43.643837,6.33425E-4,43.643837,
24,0.029449413,38.85524,6.12735E-4,38.855244,
25,0.034518886,33.539223,5.70839E-4,33.539223,
26,0.05746327,37.64072,7.76783E-4,37.294567,
27,0.06001792,32.58665,7.77113E-4,32.04197,
28,0.063253015,41.069874,8.39178E-4,36.998154,
29,0.054105368,40.94596,9.85717E-4,32.10388,
30,0.08875439,50.921944,0.001122882,50.680584,
31,0.12997174,50.738285,6.67782E-4,50.73829,
32,0.056923285,44.826984,0.001044989,44.82698,
33,0.18125486,49.0411,6.78663E-4,39.4296,
34,1.7369192,54.13744,0.001060203,38.052105,
35,0.043659583,57.849113,9.39345E-4,53.316994,
36,0.05807623,57.410934,0.001254682,42.67787,
37,0.106038354,72.07016,0.00170553,67.03245,
38,0.041072525,61.092407,0.00152832,42.103474,
39,0.2019258,61.38746,0.001425284,56.090622,
40,0.056121822,70.197624,0.001497318,66.39168,
41,0.8668244,60.350407,0.001540872,55.08052,
42,0.56367975,64.78557,0.001139642,45.207184,
43,1.193522,64.42502,0.001357284,59.133392,
44,0.056136332,78.16028,0.001601977,68.667694,
45,0.21532884,78.38137,0.001618314,73.21324,
46,0.7907204,77.70093,0.001781599,73.166954,
47,18.778706,67.63042,0.001514504,67.03932,
48,0.0836127,81.395615,0.001498139,61.554626,
49,30.939613,71.80484,0.001890753,71.27702,
50,0.3194956,85.35536,0.00233122,80.35192,
51,32.804245,75.495865,0.003520068,70.91438,
52,1.9515257,79.754074,0.00231878,59.99727,
53,0.22603512,93.99629,0.003085636,84.919655,
54,11.478807,88.99875,0.00215306,88.99875,
55,0.17492537,83.02133,0.002611123,82.531296,
56,0.41588268,97.59573,0.002906339,83.60626,
57,0.07082944,106.71044,0.003657326,102.57348,
58,0.090709224,91.1784,0.004046764,77.191055,
59,0.37528464,101.00578,0.002622197,81.27125,
60,122.02122,81.304344,0.002306232,61.684265,
61,3.3609943,100.00732,0.003285445,95.72676,
62,0.20380041,104.03794,0.002833519,84.24829,
63,49.300556,114.39213,0.003627135,104.250275,
64,0.09771169,88.01752,0.002652174,63.44285,
65,35.68297,108.38052,0.003726757,103.51663,
66,3.2897446,118.15065,0.003900614,98.1037,
67,1.1621228,126.927246,0.004081307,126.927246,
68,0.14281835,116.450775,0.003654756,102.19689,
69,0.6128503,120.79648,0.004605439,120.79646,
70,191.4489,121.03909,0.004666789,110.429535,
71,200.07976,120.51765,0.005210716,115.59174,
72,0.07818518,114.189255,0.005012258,105.26535,
73,0.15554677,123.84272,0.005422011,123.84273,
74,6.2924542,138.59096,0.005656419,114.01532,
75,0.17134528,122.75927,0.005017763,118.13202,
76,9.444909,122.510994,0.005186669,107.632706,
77,0.9987928,142.15015,0.006201121,126.80105,
78,26.271162,131.73137,0.005687246,117.2531,
79,3.4192693,141.05411,0.00597136,126.47216,
80,7.3630986,135.74142,0.005542053,115.75095,
81,4031.0068,125.74249,0.005570857,120.51459,
82,0.059203286,139.05356,0.006611975,129.39902,
