Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.03411012,0.0,0.002239556,0.0,
2,0.002957606,0.0,4.77657E-4,0.0,
3,0.002771653,0.0,8.01774E-4,0.0,
4,0.010556428,3.4262252,6.30967E-4,3.4262252,
5,0.00280297,0.0,0.001377747,0.0,
6,0.00921364,0.0,0.00335036,0.0,
7,0.0413568,7.4166713,7.13302E-4,7.416671,
8,0.030330064,11.47346,6.13373E-4,11.47346,
9,0.01401108,11.45586,8.41177E-4,11.45586,
10,0.016873984,10.589062,0.001860467,10.062632,
11,0.0189688,10.313737,8.20077E-4,10.313737,
12,0.01600547,14.36138,5.20868E-4,14.36138,
13,0.054529972,11.263407,4.49882E-4,11.263407,
14,0.14612715,14.515362,5.84998E-4,14.515362,
15,0.045952328,18.777805,6.43558E-4,18.350397,
16,0.05223279,18.262644,7.1966E-4,17.664356,
17,0.064425446,27.20591,5.68083E-4,27.205908,
18,0.067141645,22.099571,8.37722E-4,22.09957,
19,0.07561373,26.612938,7.46137E-4,26.104618,
20,0.04978702,25.76157,8.99226E-4,21.15877,
21,0.094244465,30.466255,5.10302E-4,30.384993,
22,0.040969487,30.132883,5.89517E-4,30.132885,
23,0.040629864,34.021744,7.21124E-4,28.674799,
24,0.06752128,28.607185,6.78624E-4,24.402088,
25,0.11100362,42.734352,7.21711E-4,37.821064,
26,0.12550563,43.352787,8.85017E-4,38.588135,
27,0.03351398,46.66382,0.00126914,42.53009,
28,0.11520845,42.008644,9.41783E-4,41.751755,
29,0.06538993,36.375977,9.10185E-4,31.00645,
30,0.2399921,45.958748,9.93431E-4,45.95875,
31,0.053984217,55.11033,9.1609E-4,55.11033,
32,0.12572485,59.893353,8.8694E-4,59.893353,
33,0.05591214,54.3559,8.03146E-4,54.3559,
34,0.03782539,58.21768,0.001129628,49.33153,
35,0.11671187,48.246437,8.38061E-4,44.034786,
36,0.16732733,52.67684,0.0010912,52.225143,
37,0.1964827,57.308964,0.001512049,51.707687,
38,0.06973201,56.1424,9.39494E-4,37.882317,
39,0.069842555,60.98094,0.001114095,60.884964,
40,0.23760836,71.14816,0.001548011,66.5271,
41,0.06871343,74.71066,0.001660127,65.27873,
42,0.093672395,64.15998,0.002214767,60.206444,
43,0.08646788,64.26298,0.001790087,64.262985,
44,0.08763408,78.20695,0.001317337,69.27316,
45,0.23258014,68.1604,0.001167267,53.43193,
46,10.691319,78.14497,0.001630498,77.52104,
47,7.403192,92.892006,0.001931775,92.89201,
48,0.083264254,76.10477,0.001992454,66.97973,
49,16.22044,66.49051,0.002045678,65.62397,
50,1.1649408,85.797935,0.002255724,75.89137,
51,1.875113,80.294075,0.002904802,74.52481,
52,1.5958065,84.64223,0.001868533,84.64223,
53,0.14019658,83.75198,0.002218823,78.9689,
54,12.901117,89.396965,0.002140318,83.9255,
55,0.18942294,92.96972,0.002939993,92.50861,
56,4.5560164,98.05671,0.002495963,77.75664,
57,0.8761129,97.342834,0.003010686,87.14513,
58,0.25465295,101.68232,0.002880385,86.0834,
59,0.14279889,95.772675,0.002732886,75.7124,
60,3.1226296,115.9097,0.003435136,115.90971,
61,11.643861,100.38914,0.002680734,89.99995,
62,1723.0903,85.426704,0.002755683,80.57488,
63,0.35176146,103.88893,0.003049132,94.74565,
64,53.58271,114.107925,0.003575658,113.58217,
65,0.42192742,117.89675,0.003843247,107.60826,
66,1.1192168,107.51689,0.00380789,102.74921,
67,0.28248835,116.62381,0.003499631,107.23901,
68,8.072588,121.74997,0.004135697,121.74998,
69,7.974268,116.29549,0.004124851,107.029495,
70,1231.6761,115.99629,0.004476302,115.9963,
71,0.63209784,120.03464,0.006261667,120.03463,
72,254.61217,120.146324,0.004380568,120.14633,
73,1606.0374,124.6647,0.004258624,108.69092,
74,0.22496545,133.17168,0.007831149,123.62158,
75,1.3679231,122.8974,0.004803927,112.92946,
76,2.7214994,127.62317,0.005351993,118.01648,
77,65.95549,137.47546,0.006047455,137.44884,
78,2.75798,131.47905,0.005924241,122.416405,
